cpu_key,cpu_label,passmark_multi,passmark_single,cores,release_year,source
amd ryzen 5 pro 4400ge,AMD Ryzen 5 PRO 4400GE,14795,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel xeon e5 2680 v3,Intel Xeon E5-2680 v3 @ 2.50GHz,14792,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel core 7 150u,Intel Core 7 150U,14768,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel xeon e5 2658 v4,Intel Xeon E5-2658 v4 @ 2.30GHz,14768,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen 7 1700,AMD Ryzen 7 1700,14753,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel core i9 10900t,Intel Core i9-10900T @ 1.90GHz,14714,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel xeon e5 2683 v3,Intel Xeon E5-2683 v3 @ 2.00GHz,14711,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen 7 pro 1700,AMD Ryzen 7 PRO 1700,14707,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel core i3 13100f,Intel Core i3-13100F,14664,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel xeon e5 2678 v3,Intel Xeon E5-2678 v3 @ 2.50GHz,14659,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen 7 2700e,AMD Ryzen 7 2700E,14657,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel core i7 6900k,Intel Core i7-6900K @ 3.20GHz,14656,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen 7 pro 4750u,AMD Ryzen 7 PRO 4750U,14628,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel core i5 13600hre,Intel Core i5-13600HRE,14591,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen 7 5825c,AMD Ryzen 7 5825C,14561,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel xeon w 1290te,Intel Xeon W-1290TE @ 1.80GHz,14501,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen 5 5625u,AMD Ryzen 5 5625U,14475,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel core i7 10875h,Intel Core i7-10875H @ 2.30GHz,14421,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel xeon w 1250p,Intel Xeon W-1250P @ 4.10GHz,14416,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel xeon silver 4123,Intel Xeon Silver 4123 @ 3.00GHz,14405,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel core i7 9700k,Intel Core i7-9700K @ 3.60GHz,14404,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen 3 pro 8300ge,AMD Ryzen 3 PRO 8300GE,14403,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel xeon w 2135,Intel Xeon W-2135 @ 3.70GHz,14371,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel xeon e5 2687w v3,Intel Xeon E5-2687W v3 @ 3.10GHz,14365,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel core i3 12300,Intel Core i3-12300,14347,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel cc150,Intel CC150 @ 3.50GHz,14345,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel core i9 10885h,Intel Core i9-10885H @ 2.40GHz,14280,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel core 5 220u,Intel Core 5 220U,14276,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel core i7 9700kf,Intel Core i7-9700KF @ 3.60GHz,14264,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel core i5 10600k,Intel Core i5-10600K @ 4.10GHz,14243,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel core i9 10880h,Intel Core i9-10880H @ 2.30GHz,14240,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel xeon e5 2697 v2,Intel Xeon E5-2697 v2 @ 2.70GHz,14239,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel xeon e5 1680 v4,Intel Xeon E5-1680 v4 @ 3.40GHz,14212,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen 5 4600hs,AMD Ryzen 5 4600HS,14201,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel xeon d 1732te,Intel Xeon D-1732TE @ 1.90GHz,14179,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel xeon w 2235,Intel Xeon W-2235 @ 3.80GHz,14178,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen 9 5900h,AMD Ryzen 9 5900H,14172,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel core i9 10900te,Intel Core i9-10900TE @ 1.80GHz,14171,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel xeon e5 4660 v3,Intel Xeon E5-4660 v3 @ 2.10GHz,14167,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel core i5 11600t,Intel Core i5-11600T @ 1.70GHz,14138,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel core i5 10600kf,Intel Core i5-10600KF @ 4.10GHz,14127,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen 5 pro 7530u,AMD Ryzen 5 PRO 7530U,14121,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel core i3 13100,Intel Core i3-13100,14114,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen 5 4600h,AMD Ryzen 5 4600H,14102,,6,2020,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen 5 pro 4655ge,AMD Ryzen 5 PRO 4655GE,14102,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel core i7 8086k,Intel Core i7-8086K @ 4.00GHz,14091,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel xeon e 2276g,Intel Xeon E-2276G @ 3.80GHz,14072,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen 5 7535h,AMD Ryzen 5 7535H,14065,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen 3 pro 5355g,AMD Ryzen 3 PRO 5355G,14033,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel xeon e5 2666 v3,Intel Xeon E5-2666 v3 @ 2.90GHz,14032,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen 3 8300g,AMD Ryzen 3 8300G,13990,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel xeon e 2286g,Intel Xeon E-2286G @ 4.00GHz,13988,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen 5 pro 5650u,AMD Ryzen 5 PRO 5650U,13979,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel core i3 12100f,Intel Core i3-12100F,13966,,,,PassMark (passmark_single_cpu_intel_amd.csv)
